                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1527,                 2.2653,                 2.3885,                0.02278,                0.23129,                0.02169,                0.00551,                 3.2104,                 3.8674,                 3.2002,             0.00064912,             0.00064912,             0.00064912
                      1,                 1.5511,                 1.5022,                 1.8955,                0.22098,                0.10414,                0.07656,                0.02635,                 2.3935,                 4.5063,                 3.5201,              0.0011855,              0.0011855,              0.0011855
                      2,                 1.3977,                 1.3485,                  1.717,                0.30881,                0.18666,                0.14403,                0.05804,                 2.8744,                 3.4894,                 3.6085,              0.0015899,              0.0015899,              0.0015899
                      3,                 1.2325,                 1.2128,                 1.5591,                0.21901,                0.24314,                0.10572,                0.04693,                 2.4527,                 5.0958,                 3.1537,               0.001406,               0.001406,               0.001406
                      4,                 1.0925,                 1.0593,                 1.4312,                0.25657,                0.28607,                0.13534,                0.05669,                 2.3146,                 4.9871,                 2.8385,               0.001406,               0.001406,               0.001406
                      5,                0.99305,                0.95807,                 1.3466,                0.32828,                0.28522,                0.19227,                  0.093,                 2.3531,                 3.1743,                 2.8562,               0.001208,               0.001208,               0.001208
                      6,                0.91834,                0.89061,                 1.2976,                0.36198,                0.26058,                0.18399,                0.11225,                 2.2146,                 4.0038,                 3.0211,                0.00101,                0.00101,                0.00101
                      7,                0.87187,                0.83204,                 1.2586,                0.35667,                0.28824,                0.17516,                0.10663,                 2.3243,                 3.4181,                  3.345,               0.000812,               0.000812,               0.000812
                      8,                0.82844,                0.79719,                 1.2373,                0.38122,                0.29289,                0.21903,                0.12474,                 2.2293,                 3.1957,                 3.1007,               0.000614,               0.000614,               0.000614
                      9,                0.77184,                0.75878,                 1.1971,                0.34658,                0.27894,                0.19693,                0.12393,                 2.3472,                 4.2298,                 3.5064,               0.000416,               0.000416,               0.000416
