                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9199,                 1.4058,                0.85585,                0.61338,                0.42103,                0.49082,                0.18773,                  1.912,                 1.1202,                0.81933,             0.00065778,             0.00065778,             0.00065778
                      1,                  1.752,                0.77006,                 0.8194,                0.56495,                0.49468,                0.50798,                 0.1828,                  1.891,                 1.0648,                0.81605,              0.0011933,              0.0011933,              0.0011933
                      2,                 1.7147,                0.74984,                0.81389,                0.61086,                 0.4268,                0.48609,                0.15664,                 2.1072,                  1.126,                0.82277,              0.0015969,              0.0015969,              0.0015969
                      3,                  1.677,                0.72377,                 0.8138,                0.58823,                0.54822,                0.57468,                0.22322,                 1.8756,                 1.0154,                0.81242,               0.001406,               0.001406,               0.001406
                      4,                 1.6048,                0.68775,                 0.8064,                0.68604,                0.50994,                0.59519,                0.25833,                 1.6862,                0.94086,                0.80406,               0.001406,               0.001406,               0.001406
                      5,                 1.6085,                0.69111,                0.80556,                0.60261,                0.54326,                0.55513,                 0.2227,                 1.8426,                 1.0622,                0.81074,               0.001208,               0.001208,               0.001208
                      6,                  1.596,                0.68001,                0.80837,                0.65701,                 0.5579,                0.61648,                0.25374,                 1.7424,                0.95924,                0.80845,                0.00101,                0.00101,                0.00101
                      7,                 1.5619,                0.66296,                0.80289,                0.62874,                0.54259,                0.57449,                0.24435,                 1.7891,                 1.0632,                0.81011,               0.000812,               0.000812,               0.000812
                      8,                  1.485,                0.64325,                0.80353,                0.61081,                0.53106,                0.58478,                0.23889,                 1.7941,                 1.0079,                0.81175,               0.000614,               0.000614,               0.000614
                      9,                 1.4605,                0.63044,                0.80284,                0.67688,                0.54082,                0.62581,                  0.255,                  1.802,                0.89857,                 0.8059,               0.000416,               0.000416,               0.000416
